name,description,category,type
Exterior1st_Stone, Exterior covering on house (Stone),general,binary
Exterior1st_Stucco, Exterior covering on house (Stucco),general,binary
Exterior1st_VinylSd, Exterior covering on house (Vinyl Siding),general,binary
Exterior1st_Wd Sdng, Exterior covering on house (Wood Siding),general,binary
Exterior1st_WdShing, Exterior covering on house (Wood Shingles),general,binary
Exterior2nd_AsbShng, Exterior covering on house (if more than one material) (Asbestos Shingles),general,binary
Exterior2nd_AsphShn, Exterior covering on house (if more than one material) (Asphalt Shingles),general,binary
Exterior2nd_Brk Cmn, Exterior covering on house (if more than one material) (Brk Cmn),general,binary
Exterior2nd_BrkFace, Exterior covering on house (if more than one material) (Brick Face),general,binary
Exterior2nd_CBlock, Exterior covering on house (if more than one material) (Cinder Block),general,binary
Exterior2nd_CmentBd, Exterior covering on house (if more than one material) (CmentBd),general,binary
Exterior2nd_HdBoard, Exterior covering on house (if more than one material) (Hard Board),general,binary
Exterior2nd_ImStucc, Exterior covering on house (if more than one material) (Imitation Stucco),general,binary
Exterior2nd_MetalSd, Exterior covering on house (if more than one material) (Metal Siding),general,binary
Exterior2nd_Other, Exterior covering on house (if more than one material) (Other),general,binary
Exterior2nd_Plywood, Exterior covering on house (if more than one material) (Plywood),general,binary
Exterior2nd_Stone, Exterior covering on house (if more than one material) (Stone),general,binary
Exterior2nd_Stucco, Exterior covering on house (if more than one material) (Stucco),general,binary
Exterior2nd_VinylSd, Exterior covering on house (if more than one material) (Vinyl Siding),general,binary
Exterior2nd_Wd Sdng, Exterior covering on house (if more than one material) (Wood Siding),general,binary
Exterior2nd_Wd Shng, Exterior covering on house (if more than one material) (Wd Shng),general,binary
MasVnrType_BrkCmn, Masonry veneer type (Brick Common),general,binary
MasVnrType_BrkFace, Masonry veneer type (Brick Face),general,binary
MasVnrType_None, Masonry veneer type (None),general,binary
MasVnrType_Stone, Masonry veneer type (Stone),general,binary
Foundation_BrkTil, Type of foundation (Brick & Tile),general,binary
Foundation_CBlock, Type of foundation (Cinder Block),general,binary
Foundation_PConc, Type of foundation (Poured Contrete),general,binary
Foundation_Slab, Type of foundation (Slab),general,binary
Foundation_Stone, Type of foundation (Stone),general,binary
Foundation_Wood, Type of foundation (Wood),general,binary
BsmtCond_0, Evaluates the general condition of the basement (0),basement,binary
BsmtCond_1, Evaluates the general condition of the basement (1),basement,binary
BsmtCond_2, Evaluates the general condition of the basement (2),basement,binary
BsmtCond_3, Evaluates the general condition of the basement (3),basement,binary
BsmtCond_4, Evaluates the general condition of the basement (4),basement,binary
Heating_Floor, Type of heating (Floor Furnace),utilites,binary
Heating_GasA, Type of heating (Gas forced warm air furnace),utilites,binary
Heating_GasW, Type of heating (Gas hot water or steam heat),utilites,binary
Heating_Grav, Type of heating (Gravity furnace),utilites,binary
Heating_OthW, Type of heating (Hot water or steam heat other than gas),utilites,binary
Heating_Wall, Type of heating (Wall furnace),utilites,binary
CentralAir_N, Central air conditioning (No),utilites,binary
CentralAir_Y, Central air conditioning (Yes),utilites,binary
Electrical_FuseA, Electrical system (Fuse Box over 60 AMP and all Romex wiring (Average)),utilites,binary
Electrical_FuseF, Electrical system (60 AMP Fuse Box and mostly Romex wiring (Fair)),utilites,binary
Electrical_FuseP, Electrical system (60 AMP Fuse Box and mostly knob & tube wiring (poor)),utilites,binary
Electrical_Mix, Electrical system (Mixed),utilites,binary
Electrical_SBrkr, Electrical system (Standard Circuit Breakers & Romex),utilites,binary
GarageType_2Types, Garage location (More than one type of garage),garage,binary
GarageType_Attchd, Garage location (Attached to home),garage,binary
GarageType_Basment, Garage location (Basement Garage),garage,binary
GarageType_BuiltIn, Garage location (Built-In (Garage part of house - typically has room above garage)),garage,binary
GarageType_CarPort, Garage location (Car Port),garage,binary
GarageType_Detchd, Garage location (Detached from home),garage,binary
GarageType_No, Garage location (No),garage,binary
GarageFinish_Fin, Interior finish of the garage (Finished),garage,binary
GarageFinish_No, Interior finish of the garage (No),garage,binary
GarageFinish_RFn, Interior finish of the garage (Rough Finished),garage,binary
GarageFinish_Unf, Interior finish of the garage (Unfinished),garage,binary
Fence_GdPrv, Fence quality (Good Privacy),outdoor,binary
Fence_GdWo, Fence quality (Good Wood),outdoor,binary
Fence_MnPrv, Fence quality (Minimum Privacy),outdoor,binary
Fence_MnWw, Fence quality (Minimum Wood/Wire),outdoor,binary
Fence_No, Fence quality (No),outdoor,binary
MiscFeature_Gar2, Miscellaneous feature not covered in other categories (2nd Garage (if not described in garage section)),other,binary
MiscFeature_No, Miscellaneous feature not covered in other categories (No),other,binary
MiscFeature_Othr, Miscellaneous feature not covered in other categories (Other),other,binary
MiscFeature_Shed, Miscellaneous feature not covered in other categories (Shed (over 100 SF)),other,binary
MiscFeature_TenC, Miscellaneous feature not covered in other categories (Tennis Court),other,binary
MoSold_Apr, Month Sold (MM) (April),dates,binary
MoSold_Aug, Month Sold (MM) (August),dates,binary
MoSold_Dec, Month Sold (MM) (December),dates,binary
MoSold_Feb, Month Sold (MM) (February),dates,binary
MoSold_Jan, Month Sold (MM) (January),dates,binary
MoSold_Jul, Month Sold (MM) (July),dates,binary
MoSold_Jun, Month Sold (MM) (June),dates,binary
MoSold_Mar, Month Sold (MM) (March),dates,binary
MoSold_May, Month Sold (MM) (May),dates,binary
MoSold_Nov, Month Sold (MM) (November),dates,binary
MoSold_Oct, Month Sold (MM) (October),dates,binary
MoSold_Sep, Month Sold (MM) (September),dates,binary
SaleType_COD, Type of sale (Court Officer Deed/Estate),other,binary
SaleType_CWD, Type of sale (Warranty Deed - Cash),other,binary
SaleType_Con, Type of sale (Contract 15% Down payment regular terms),other,binary
SaleType_ConLD, Type of sale (Contract Low Down),other,binary
SaleType_ConLI, Type of sale (Contract Low Interest),other,binary
SaleType_ConLw, Type of sale (Contract Low Down payment and low interest),other,binary
SaleType_New, Type of sale (Home just constructed and sold),other,binary
SaleType_Oth, Type of sale (Other),other,binary
SaleType_WD, Type of sale (Warranty Deed - Conventional),other,binary
SaleCondition_Abnorml," Condition of sale (Abnormal Sale -  trade, foreclosure, short sale)",other,binary
SaleCondition_AdjLand, Condition of sale (Adjoining Land Purchase),other,binary
SaleCondition_Alloca," Condition of sale (Allocation - two linked properties with separate deeds, typically condo with a garage unit)",other,binary
SaleCondition_Family, Condition of sale (Sale between family members),other,binary
SaleCondition_Normal, Condition of sale (Normal Sale),other,binary
SaleCondition_Partial, Condition of sale (Home was not completed when last assessed (associated with New Homes)),other,binary

